NUM_SOLICITUD,SUCURSAL,STATUS_SOLICITUD,PUNTO_DECISION,APROBACION_TC,TIPO_CTE,LINEA_CREDITO_FINAL,CUENTA_ASIGNADA,MESES_VENCIDOS,SALDO_CUENTA,CAPACIDAD_TC,INGRESO_INFERIDO,COMPROBANTE_INGRESOS,SEGMENTO_CLIENTE,CLIENTE_CDE,SUMA_LINEAS_REVOLVENTES,NIVEL_RIESGO,CAPACIDAD_PAGO_TOTAL,SOLICITUDES_RECHAZADAS,SCORE_CLIENTE,SCORE_COMPORTAMIENTO,PEOR_MOP_TARJETAS,SUMA_SALDOS_TARJETAS,SUMA_PAGO_MIN_TARJETAS,PEOR_HISTORIA_CREDITO,SUMA_SALDOS_TOTAL,NUM_CREDITOS,EDAD,TIPO_VIVIENDA,ESCOLARIDAD
2.01E+16,8136,Aprobada,CN0,Aprobado,REGULAR,6000,9.98E+14,0,"2,160",64%,31511,INVERSIONES,Medio A,NO_CLIENTE,0,Mínimo,36%,0,199,774,0,0,0,0,0,0,40,Familiares,Preparatoria
2.01E+16,9184,Aprobada,CN0,Aprobado,REGULAR,7000,9.98E+14,0,"2,240",68%,27113,INVERSIONES,Alto A,NO_CLIENTE,0,Mínimo,32%,0,200,778,0,0,0,0,0,0,40,Familiares,Posgrado
2.01E+16,4090,Aprobada,CN0,Aprobado,REGULAR,49999,9.98E+14,0,"12,000",76%,36301,PROPIEDAD ACTIVO FIJO,Alto A,CLIENTE_BANCO,18500,Bajo,24%,0,202,716,0,0,0,0,0,0,40,Hipoteca,Licenciatura
2.01E+16,7625,Aprobada,CN0,Aprobado,BUENO,55000,9.98E+14,2,"32,450",41%,34594,RECIBOS DE NOMINA,Medio A,NO_CLIENTE,0,Bajo,59%,0,203,741,0,0,0,0,0,0,40,Propia,Posgrado
2.01E+16,610,Aprobada,CN0,Aprobado,REGULAR,2999,9.98E+14,1,"2,699",10%,31887,PROPIEDAD ACTIVO FIJO,Medio A,CLIENTE_BANCO,3000,Medio ,90%,0,204,697,1,2619,250,0,0,0,40,Propia,Preparatoria
2.01E+16,395,Aprobada,CN0,Aprobado,BUENO,9899,9.98E+14,1,"11,087",-12%,24886,PROPIEDAD ACTIVO FIJO,Medio A,CLIENTE_BANCO,33000,Bajo,112%,0,208,702,1,30740,10,0,0,0,40,Hipoteca,Posgrado
2.01E+16,299,Aprobada,CN0,Aprobado,BUENO,49999,9.98E+14,0,"40,999",18%,35398,PROPIEDAD ACTIVO FIJO,Medio A,CLIENTE_BANCO,20400,Mínimo,82%,0,209,767,0,0,0,0,0,0,40,Renta,Licenciatura
2.01E+16,4196,Aprobada,CN0,Aprobado,BUENO,2999,9.98E+14,0,"2,249",25%,31097,INVERSIONES,Alto B,CLIENTE_BANCO,0,Bajo,75%,0,211,735,0,0,0,0,7298,0,40,Hipoteca,Preparatoria
2.01E+16,151,Aprobada,CN0,Aprobado,REGULAR,2999,9.98E+14,0,570,81%,26911,PROPIEDAD ACTIVO FIJO,Alto A,NO_CLIENTE,0,Mínimo,19%,0,211,791,0,0,0,0,0,0,40,Propia,Licenciatura
2.01E+16,201,Aprobada,CN0,Aprobado,BUENO,9899,9.98E+14,1,"10,097",-2%,37107,RECIBOS DE NOMINA,Alto B,CLIENTE_BANCO,0,Bajo,102%,0,213,718,0,0,0,0,0,0,40,Familiares,Posgrado
2.01E+16,92,Aprobada,CN0,Aprobado,REGULAR,50000,9.98E+14,1,"20,000",60%,34465,RECIBOS DE NOMINA,Medio A,CLIENTE_BANCO,30200,Bajo,40%,0,217,740,0,15087,0,0,0,0,40,Hipoteca,Posgrado
2.01E+16,9402,Aprobada,CN0,Aprobado,REGULAR,16099,9.98E+14,0,"3,703",77%,31799,PROPIEDAD ACTIVO FIJO,Medio A,CLIENTE_BANCO,21100,Bajo,23%,0,218,704,1,19048,1160,0,0,0,40,Hipoteca,Preparatoria
2.01E+16,7920,Aprobada,CN0,Aprobado,BUENO,10000,9.98E+14,1,"10,700",-7%,25198,RECIBOS DE NOMINA,Medio B,NO_CLIENTE,0,Bajo,107%,0,218,713,0,0,0,0,0,0,40,Hipoteca,Preparatoria
2.01E+16,4689,Aprobada,CN0,Aprobado,BUENO,9899,9.98E+14,2,"6,632",33%,35267,PROPIEDAD ACTIVO FIJO,Medio A,CLIENTE_BANCO,36000,Bajo,67%,0,220,706,1,20769,1100,0,0,0,40,Familiares,Licenciatura
2.01E+16,4663,Aprobada,CN0,Aprobado,BUENO,4999,9.98E+14,1,"4,449",11%,31012,PROPIEDAD ACTIVO FIJO,Alto B,CLIENTE_BANCO,0,Bajo,89%,0,223,731,0,0,0,0,0,0,40,Propia,Posgrado
2.01E+16,4498,Aprobada,CN0,Aprobado,REGULAR,4999,9.98E+14,1,"1,600",68%,27249,PROPIEDAD ACTIVO FIJO,Alto A,NO_CLIENTE,0,Mínimo,32%,0,224,788,0,0,0,0,0,0,40,Propia,Licenciatura
